gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
AC079354.2	0.29	0.56	0	0	0.17	0	0.5	0.15	0.36	0.19
SETP10	0	0	0.09	0	0	0.56	0	0	0	0.36
AC016397.1	0	0	0	0	0	0	0	0.65	0.25	0
GAPDHP37	0	0	0	0	0	0	0	0	0	0
IDH1-AS1	1.6	1.13	0.77	0.81	1.24	1.43	1.8	0.75	4.85	3.94
MAP1LC3BP1	0	0	0.22	0	0	0	0	0	0	0
GAMTP2	0	0	0	0	0	0	0	0	0	0
TPRKBP1	0.26	0	0	0.19	0	0	0	0	0	0
FO393415.3	0	0	0	0	0	0	0	0	0	0
RARRES2P3	0	0	0	0	0	0	0	0	0	0
LINC00387	0	0	0	0	0	0	0	0	0	0
SALL4P5	0	0	0	0	0	0	0	0	0	0
AC006033.1	0.2	0	0	0	0	0.21	0.11	0	0	0
AC007402.1	0.01	0	0	0	0	0	0	0	0	0
NEBL-AS1	1.25	0.43	1.2	0.1	0.21	5.22	2.33	0.47	1.08	0.8
AL138479.1	0	0	0	0	0	0	0	0	0	0
AC024082.1	0	0	0	0	0	0	0	0	0	0
PSG1	0	0.44	0.07	0.42	0	0	0	0.2	0.19	0.12
TAPBP	187.32	184.8	178.08	159.16	164.58	203.89	164.28	173.51	196.06	183.97
SEPHS1P7	0	0	0	0	0	0	0	0	0	0
AC093734.1	0	0	0	0	0	0	0	0	0	0
HMGB3P31	0	0	0	0.08	0	0	0	0	0	0
AF228730.1	0	0	0	0	0	0	0	0	0	0
AC024082.2	0	0	0	0	0	0	0	0	0	0
MYO18B-AS1	0	0	0	0	0	0	0	0	0	0
FAM242A	0	0	0	0	0	0	0	0	0	0
AC116666.1	0	0	0.07	0	0	0	0	0	0.09	0
RPS7P3	0.21	0.27	0.08	0	0	0.07	0.72	0.07	0	0.09
HNRNPA1P36	0	0	0	0	0	0	0	0.04	0	0
PGM5P4-AS1	1.55	2.11	0.45	0	0.03	1.51	1.65	0.78	0.35	0.42
PHKA1-AS1	0	0.06	0.19	0	0	0.14	0.3	0.14	0	0
MTND2P24	0	0	0	0	0	0	0	0	0	0
HS1BP3-IT1	0.33	0.32	0	0.15	0	0	0	0.42	0	0
AL161638.1	0	0	0	0	0	0	0	0	0	0
AC004837.3	0	0	0	0.08	0	0	0	0	0	0
DPY19L1P2	0	0	0	0	0	0.14	0	0	0	0.09
AL031432.1	0	0.11	0	0.09	0	0	0.09	0	0	0
MTND2P22	0	0	0	0	0	0	0	0	0	0
AC007383.3	0	0	0.19	0.04	0.1	0.19	0	0	0.55	0.23
HNRNPA1P9	0	0	0	0	0	0	0	0	0	0.05
GNAI2P2	0	0	0	0	0	0	0	0	0	0
AL035461.2	0	0	0.26	0.15	0	0	0	0	0	0
AL662864.1	0	0	0	0	0	0	0	0	0	0
AL731567.1	0.09	0	0.26	0	0.1	0	0	0	0	0
AF131215.1	0	0	0	0	0	0.25	0.26	0	0	0
LINC02818	0.12	0	0	0	0	0	0	0	0	0
AL135786.1	0	0	0.48	0.85	0	0	0	0	0.3	0.63
MMADHC-DT	0.19	0.05	0.35	0.22	0.12	0.06	0.18	0.25	0.04	0.14
AL355490.3	0.09	0	0	0.36	0	0	0	0.51	0	0.18
CT69	0	0.13	0	0.32	0	0	0.22	0.04	0.13	0
FAM238B	0.51	0	0	0	0	0	0	0	0	0
AL096828.1	0	0	0	0	0	0	0	0	0.27	0
AL590103.1	0	0	0.14	0	0	0.64	0	0	0	0
AL356361.2	0	0	0	0	0	0	0	0	0	0
AC011899.1	0	0	0	0	0	0	0	0	0	0.01
RPL7L1P12	0.21	0.1	0.1	0	0.06	0.34	0.12	0	0.26	0
AC112907.2	0	0	0.26	0	0	0.15	0	0.14	0	0
LINC00415	0	0	0	0	0	0	0	0	0	0
AL596266.1	0	0	0	0	0	0	0	0	0	0
AL354949.1	0	0	0	0	0	0	0	0	0	0
AP000474.1	0	0	0	0	0	0	0	0	0	0
LINC01787	0	0	0	0	0	0	0	0	0	0
OFD1P3Y	0	0	0	0	0	0	0	0	0	0
PPP1R2B	0.1	0.07	0.02	0.02	0.11	0	0.02	0.11	0.09	0.08
AL442224.1	0	0	0	0	0	0	0	0	0	0
ANXA2P2	36.12	37.86	30.11	57.39	56.18	13.87	12.18	43.2	24.56	24.17
AC092802.4	0	0.58	0.1	0	0	0.54	0.45	0	0.24	0
EP300-AS1	0.91	0.78	0.87	0.52	0.1	1.47	1.34	0.76	5.6	5.2
AL590399.4	0.29	0.18	2	0.21	0.36	3.17	1.52	0.6	1.03	0.39
AC096949.1	0	0	0	0	0	0	0	0	0	0
LRRC8C-DT	0.11	0.5	0.47	0.72	1.1	0.98	0.98	0.27	0.59	0.67
CLCN3P1	0	0.11	0.02	0	0.03	0.02	0.03	0.07	0	0
AC108868.2	0	0	0	0	0	0	0	0	0	0
LINC01880	0	0	0	0	0	0	0.08	0	0	0
ZNF736P12Y	0	0	0	0	0	0	0	0	0	0
CAP1P2	0.47	0.3	0.05	0.7	0.33	0	0.03	0.19	0.16	0.27
AC005537.2	0.63	0.52	1.37	0.16	0.28	0.92	1.16	0.17	2.58	1.53
AL591503.2	0	0	0	0	0	0	0	0	0	0
DNMT3L-AS1	0	0	0.37	0	0	0	0.18	0	0	0
HSPE1P25	0	0	0	0	0	0	0	0	0	0
AC074183.1	0	0	0	0	0	0	0.07	0	0	0
LEF1-AS1	0	0	0	0	0	0.08	0	0.17	0	0.06
FAAHP1	0.2	0.59	0.33	0.22	0.23	0.43	0.96	0	0	0.13
LINC01807	0	0	0	0	0	0.06	0.06	0	0	0.07
LSM12P1	24.8	26.35	22.06	28.23	26.98	16.3	14.04	29.79	20.75	25.55
AL671986.1	0.32	0.19	0.11	0.09	0.09	0	0.22	0.12	0.14	0.05
AC007391.1	0	0	0.08	0	0	0.17	0.18	0	0	0.1
ELOCP15	0	0	0	0	0	0	0	0	0	0
MAGEB6B	0	0	0	0	0	0	0	0	0	0
AL078599.3	0	0	0.08	0	0	0.09	0.2	0	0.11	0
AC079781.2	1.83	1.06	1.06	0	0.42	0.7	1.24	0	0	1.6
AC092168.2	0	0.1	0.41	0.06	0	0.18	0.43	0.4	0	0.34
AL135790.1	0	0	0	0	0	0	0	0	0	0
AL078645.2	0	0	0	0	0	0	0	0	0.03	0
AL590556.1	0	0	0.11	0	0	0.09	0	0	0	0.15
DEFT1P2	0	0	0	0	0	0	0	0	0	0
ZBED9	3.15	3.05	2.97	1.62	1.76	4.35	2.85	0.87	3.05	2.2
PSMD10P3	0.09	0	0	0	0	0.1	0	0	0.11	0
AL512286.1	0	0	0	0	0	0	0	0	0	0
AL133230.2	0.09	0.16	0.26	0.05	0.04	0.74	0.43	0.09	0.1	0.16
SILC1	0.04	0.01	0.03	0	0.01	0.04	0.26	0.02	0	0.1
LINC01798	0	0	0	0	0	0	0.03	0	0	0
HNRNPCP9	0	0	0	0.2	0.05	0.05	0	0	0	0.06
Z98949.1	0	0	0	0	0	0	0	0	0	0
AC078845.1	0	0	0	0	0	0.03	0	0.09	0.06	0
NPM1P34	0	0	0	0	0	0	0	0	0	0
AC092687.1	0	0	0	0	0	0	0	0	0	0
AC093390.1	0	0	0	0	0	0	0	0	0	0
AC005772.1	0	0	0	0	0	0	0	0	0	0
AL451007.1	0	0	0	0.18	0	0.17	0.73	0	0	0
SLC4A1APP1	0.09	0	0.18	0	0	0	0	0.1	0.11	0.11
AL691447.2	0.09	0.02	0.18	0.1	0.08	0.1	0.1	0.05	0.1	0.2
USP9YP33	0	0	0	0	0	0	0	0	0	0
LINC01063	0.63	0.73	1.1	0.58	0.15	0.41	0.14	0.4	0.46	0.97
AF003529.1	0	0	0	0	0	0	0	0	0	0
RPS29P28	0	0	0	0	0	0	0	0	0	0
TMEM253	0.23	0.66	0	0.19	1.63	0.07	0.3	1.36	1.49	0.92
AC004870.4	0	0	0	0	0	0	0	0	0	0
Z82198.2	0	0	0.24	0	0	0	0	0	0	0
MRPL35P2	0.24	0	0.23	0	0	0	0	0	0.19	0.1
LINC01031	0	0	0.2	0	0.25	0.06	0.06	0.19	0	0
LINC01697	0.26	0.04	0	0.26	0	0	0.24	0.3	1.01	0.73
AL662789.1	0	0	0	0	0	0	0	0	0	0
LARGE-IT1	0	0.14	0	0	0	0.23	0.16	0	0	0
RPS6KA2-IT1	0	0.07	0.2	0	0	0	0	0.14	0	0
RPL31P7	0	0	0	0	0	0	0	0	0	0
LINC01104	0	0	0	0	0	0	0	0	0	0
AL606534.2	0	0	0	0	0	0.19	0	0	0	0
AL159990.2	0	0	0	0	0	0	0	0	0	0
HCFC2P1	0	0	0	0	0	0	0	0	0	0
AC011233.1	0	0	0	0	0	0	0	0	0	0
AC016724.1	0	0	0	0	0	0	0	0.11	0	0
PNLIPP1	0	0	0	0	0	0	0	0	0	0
DCST1-AS1	0.84	0.36	1.11	0.48	1.23	1.91	1.63	1.56	4.44	3.67
YPEL5P1	0	0	0.11	0	0	0	0	0	0	0
AC079781.3	0	0	0	0	0	0	0	0	0	0.47
AC012313.1	2.13	1.38	1.54	0.55	0.47	4.49	3.77	1.14	0.9	1.59
LINC01653	0	0	0	0	0	0	0	0	0	0
AC108059.3	0	0	0	0	0	0	0	0	0	0
MTCO3P2	0	0	0	0	0	0	0	0	0	0
RFX3-AS1	0.16	0.03	0.61	0.09	0.1	0.62	1.1	0.07	0.29	1.98
RPL32P28	0	0	0	0	0	0	0	0	0	0
VN1R54P	0	0	0	0	0	0	0	0	0	0
AL353751.1	0	0.1	0.15	0.11	0.03	0.02	0.05	0	1.28	0.14
AC073488.1	0	0	0	0	0	0	0	0	0	0
TMA7	375.78	388.46	280.95	336.87	321.08	321.86	336.84	397.42	376.43	370.64
TEX50	0	0	0	0	0	0	0	0	0	0
AC018693.2	0	0	0	0	0	0	0	0	0	0
AC026884.1	0	0	0	0	0	0	0	0	0	0
LINC00384	0	0	0	0	0	0	0	0	0	0
BACH1-AS1	0	0	0.11	0	0	0	0.06	0	0	0
MCTS1	88.9	96.44	53.47	89.56	79.07	44.59	46.1	79.89	59.09	57.25
AL357375.1	0	0	0	0	0	0	0	0	0	0
AL450469.2	0	0	0	0	0	0	0	0	0	0
AP001057.1	0	0	0.16	0	0.06	0.2	0.25	0	0.18	0
DYTN	0	0	0	0	0	0	0	0	0	0
MTCO3P45	0	0	0	0	0	0	0	0	0	0
AC092966.1	0	0	0	0	0	0	0	0	0	0
NCOA7-AS1	0	0	0	0	0	0	0	0	0	0.1
NDFIP2-AS1	0	0	0	0	0	0	0	0	0	0
IMPDH1P10	3.59	4.41	3.85	4.52	3.04	3.59	4.17	1.6	2.73	1.88
RPS15AP12	0.23	0	0	0	0.13	0.24	0	0	0.16	0
AL031663.1	0	0.46	0	0	0	0	0	0	0.29	0
DUXAP7	0	0	0	0	0	0	0	0	0	0
IFNWP5	0	0	0	0	0	0	0	0	0	0
LINC00867	0	0.73	0.17	0	0	0.18	0.3	0.21	0.29	0.15
AC073257.1	0.09	0.03	0.06	0	0.03	0	0.07	0.12	0	0
RPS25P9	0	0	0	0	0	0	0	0	0	0
PSAT1P2	0	0	0	0	0	0	0	0	0	0
AC099548.1	0	0	0	0	0	0	0	0	0	0
FMO11P	0	0	0	0	0	0	0	0	0	0
FERP1	0.06	1.05	0	0	0.68	0.34	0	0.11	1.49	0.92
ST13P4	0.43	0.08	0	0.27	0.12	0	0.47	0.25	0.25	0.29
AC012593.2	0	0	0	0	0	0	0	0	0	0
MTCYBP15	0	0	0	0	0	0	0	0	0	0
AC244090.2	0	0	0	0	0	0	0	0	0	0
C11orf98P1	0	0	0	0	0	0	0	0	0	0
RAB9BP1	0	0	0	0	0	0	0	0	0	0
RAP2C-AS1	0.49	0.54	0.36	0.3	0.35	0.83	0.77	0.61	1.27	0.72
AC023141.8	0	0	0	0	0	0	0	0	0	0
USP12-AS1	0	0	0	0	0	0.19	0	0.19	0	0
RPLP1P13	0	0	0	0.18	0	0	0	0	0	0
LINC01873	0	0.08	0.3	0.57	0.3	0.45	0.25	0.09	0.43	0.46
AC006455.6	0	0	0	0	0	0	0	0	0	0
AL122008.2	0	0	0	0	0	0	0	0	0	0
AC137675.1	0	0	0	0	0	0	0	0	0	0
P2RY10BP	0	0	0	0	0	0	0	0	0	0
LINC00708	0	0	0	0	0	0	0	0	0	0
AL359092.2	0	0.07	0	0	0.04	0	0	0	0	0
OR2H5P	0	0	0	0	0	0	0	0	0	0
AC113340.1	0	0	0	0	0	0	0	0	0	0
AL122003.1	0	0	0	0	0	0	0	0	0	0
AL161909.1	0.27	0.56	0.47	0.37	0.19	0.97	0.49	0.7	0.55	1.17
MTND4P24	0	0	0	0	0	0	0	0	0	0.14
MTATP6P29	0	0	0	0	0	0	0	0	0	0
AL031386.1	0	0	0	0	0	0	0	0	0	0
AL662889.1	0	0	0	0	0	0	0	0	0	0
CNOT7P2	0	0	0	0	0	0	0	0	0	0
AL137013.1	0.09	0.15	0.51	0.17	0.15	0.39	0.77	0	0.57	0.47
FTH1P7	18.53	24.7	23.09	5.54	6.03	16.17	15.5	12.13	7.24	9.13
AL354714.3	0	0.27	0	0	0	0	0	0	0	0
LINC02181	0	0	0	0	0	0	0	0	0	0
KIF26B-AS1	0	0	0	0	0	0	0	0	0	0
AL157359.2	0	0	0	0	0	0	0	0	0	0
Z99943.1	0.11	0.16	0.16	0	0.12	0	0	0.11	0	0.14
TOMM22P2	0	0	0	0	0	0	0	0	0.26	0
MTRNR2L4	0.02	0	0	0	0	0.05	0.05	0	0.08	0.03
AL596442.1	0	0	0	0	0	0	0	0	0	0
MTCO2P34	0	0	0	0	0	0	0	0	0	0
RPL3P8	0	0	0	0	0	0	0	0	0	0
AL158090.1	0	0	0	0	0	0	0	0	0	0
AC098824.1	0	0	0.08	0.34	0.15	0	0.14	0	0.02	0.25
SLC25A6P2	0	0	0.04	0.05	0	0	0	0	0	0
TET1P1	0	0	0	0	0	0	0	0	0	0
CDY18P	0	0	0	0	0	0	0	0	0	0
AL139415.1	0	0	0	0	0	0	0	0	0	0
AL353613.1	0	0	0	0	0	0	0	0	0	0
LINC01701	0	0.09	0	0	0	0	0	0	0	0
OR2L6P	0	0	0	0	0	0	0	0	0	0
IGHV3-43	0	0	0	0	0	0	0	0	0	0
FTLP8	0	0	0	0	0	0	0	0	0	0
AL021937.2	1.1	0.53	1.31	1.25	0.95	0.3	0.31	0.58	0.66	0.35
AC008440.1	0	0	0	0	1.03	0	0.38	0	0	0
CNN2P10	0	0	0	0	0	0	0	0	0	0
LINC01047	0	0	0	0	0	0	0	0	0	0
ARSFP1	0	0	0	0	0	0	0	0	0.07	0.51
AC013401.1	0	0	0	0	0	0	0	0	0	0
AC092431.2	0	0	0	0	0	0	0.16	0	0.17	0
LINC00865	4.38	4.53	4.11	3.38	2.72	6.99	7.51	0.78	6.76	7.05
TPM4P1	0	0	0	0	0	0	0	0	0	0
LINC02043	0.04	0.04	0.06	0.02	0.05	0.09	0.13	0.08	0.08	0.12
AL355499.1	0.07	0.08	0.07	0	0	0	0	0	0	0.18
CDY3P	0	0	0	0	0	0	0	0	0	0
ASCL5	0.03	0.09	0.05	0.06	0.03	0.04	0.08	0.03	0	0
RPS29P8	0	0	0	0	0	0	0	0	0	0
RBPJP5	0	0.02	0	0	0	0	0	0	0	0
AL356387.2	0	0	0	0	0	0	0	0	0	0
DYNLT3P1	0	0	0	0	0	0	0	0	0	0
ZYG11AP1	0	0	0	0	0	0	0	0	0	0
AL035415.1	0	0	0	0	0	0	0	0	0	0
AC152007.1	0	0	0	0	0	0	0	0	0	0
AL354994.1	0	0	0	0	0	0	0	0	0	0
CSF2RBP1	0	0	0	0	0	0	0	0	0	0
TMEM114	0	0	0	0	0	0	0	0	0	0
AL158166.2	1.34	1.44	0.45	0.35	0.18	0.39	0.41	0.54	0	0.13
BTF3L4P1	0.28	0	0	0.11	0.22	0	0.32	0	0.4	0.12
Z98751.1	0	0	0	0	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0	0	0
LINC02805	0.06	0	0	0	0	0	0	0	0	0
ACTR3P2	0.09	0	0.06	0.07	0	0	0.07	0	0	0
OR52I1	0	0	0	0	0	0	0.12	0	0	0
AL096799.1	0	0	0	0	0	0	0	0	0	0
FTH1P1	0	0	0.07	0	0	0	0	0.16	0	0.1
AC104651.2	0	0	0	0	0	0	0	0	0	0
IFNWP15	0	0	0	0	0	0	0	0	0	0
MTND1P32	0	0.08	0.08	0	0	0	0.14	0	0.1	0
HSD17B3-AS1	0	0	0	0	0	0	0	0	0	0
GNG12-AS1	0	0.1	0.46	0.04	0	0.61	0.29	0.61	0.24	0.09
ELOBP3	0	0	0	0	0	0	0	0	0	0
AL121902.1	0	0	0	0	0	0	0	0	0	0
SLC6A1-AS1	0	0	0	0	0	0	0	0	0	0
AL133260.2	0	0	0	0	0	0	0	0	0	0.14
ALDH7A1P2	0	0	0	0	0	0	0	0	0	0
PAICSP7	0	0	0	0	0	0	0.04	0	0	0.05
AL031674.1	0	0	0	0	0	0	0	0	0	0.39
AL589935.1	0.59	0.29	1.54	0.43	0.74	0.56	1.11	0	0.89	1.08
AL691482.2	0	0	0	0	0	0	0	0	0	0
GRHL3-AS1	0.09	0.04	0.26	0.1	0	0.14	0.4	0.23	0.97	0.85
AL357514.1	0	0	0	0	0	0	0	0	0	0
FAM215B	0.72	0.93	2.21	0.43	0.48	4.11	4.09	0.42	1.5	1.7
LNCPRESS1	0	0	0	0	0	0	0	0	0	0
DFFBP1	0.23	0	0.52	0.4	0.21	0.31	0.12	0.23	0	0
CLCP1	0	0	0	0	0	0	0	0	0	0
AC012485.2	0.04	0	0	0	0	0.11	0	0.11	0	0.02
DAOA-AS1	0	0	0	0	0	0	0	0	0	0
AL390856.1	0	0	0	0	0	0	0.08	0	0	0
AL078590.2	0	0.21	0.11	0	0	0.07	0.05	0.09	0	0
AL512303.1	0.09	0.43	0.34	0.2	0.21	0.19	0.2	0	0.22	0.11
PSMC1P13	0	0	0	0	0	0	0	0	0	0.03
LINC02518	0.08	0	0.3	0	0	0	0.18	0	0.19	0.49
AC009299.2	0.43	0.53	0	0.36	0	0	0.45	0.44	0.51	0.13
AC093627.1	0	0	0	0	0	0	0	0	0	0
AC105917.1	0	0	0	0	0	0	0	0	0	0
AC084030.1	0	0	0	0.05	0.1	0	0.06	0.09	0	0
AC233982.1	0	0	0	0.11	0	0	0.11	0	0	0
RPS27AP2	0	0.18	0.09	0.2	0	0	0	0	0.11	0
AL683842.1	0.08	0	0.22	0.09	0.09	0.08	0	0.08	0	0
AL354864.1	0	0	0	0	0.09	0	0	0	0	0
AC009313.2	0	0	0	0	0	0	0	0	0	0
RPL4P2	0	0	0	0	0.03	0	0	0	0	0.11
AC022540.1	0.08	0.24	0	0.11	0.32	0.1	0.15	0	0	0.06
AC087163.2	0	0	0.04	0.1	0.05	0.05	0.1	0.05	0	0.51
Z74021.1	0.3	0.7	1.08	0.73	0.88	1.02	1.08	0.88	0.29	1.08
AL390728.5	0.07	0.07	0.19	0	0	0.14	0.09	0	0.07	0
YBX1P7	0	0	0	0	0	0	0	0	0	0
AC244250.2	0	0	0	0	0	0	0	0	0	0
SEMA3B-AS1	0.26	0.13	0.63	0.15	0	1.14	1.49	0.28	0.32	0.5
AC026320.1	0	0	0	0	0	0	0	0	0	0
VIPR1-AS1	2.98	2.65	3.98	0.77	0.99	8.75	6.35	1.23	0.75	0.9
AL603650.1	0	0	0	0	0	0	0	0	0	0
AL050404.1	0	0	0	0	0	0	0	0	0	0
AC104777.1	0	0.07	0	0	0	0	0	0	0	0
AP000281.3	0	0	0	0	0	0.12	0	0	0	0.14
AC069304.1	0	0	0	0	0	0	0	0	0	0
ATP5MGP2	0	0	0.28	0	0.17	0	0.17	0	0	0
AL021391.1	0	0	0	0	0	0	0	0	0	0
VDAC1P9	0	0	0	0	0	0	0	0	0	0
FTLP2	0.23	0.67	0.3	0	0	0.35	0.46	0.41	0.28	0
PPIAP35	0	0	0	0	0	0.09	0	0	0	0
AF241726.1	0	0	0	0	0	0	0	0	0	0
MTCYBP3	0	0	0	0	0	0	0	0	0	0
GPR79	0	0	0.04	0	0	0	0	0	0.05	0
AC092042.2	0	0	0	0	0	0	0	0	0	0
AC016910.2	0.07	0	0.03	0	0	0.04	0	0	0.04	0.09
RPL29P28	0	0	0	0	0	0	0	0	0	0
RPL22P23	0	0.11	0	0	0	0	0	0	0	0
ZDHHC20P4	0.4	0.27	0.51	0.46	0.19	0.22	0.05	0.17	0.15	0.21
OR52U1P	0	0	0.04	0	0	0.04	0	0	0	0
OR5K1	0	0.07	0	0	0	0	0	0	0	0
AC010677.1	0	0	0.3	0	0	0	0	0	0	0
RPS3AP25	0	0	0.05	0	0	0	0	0	0	0
AC015712.1	1.4	0.67	1.01	1.03	1.19	0.79	0.76	0.51	0.48	0.62
SKA2P1	0.17	0	0	0.2	0	0	0	0.17	0	0
SMIM26	92.9	97.7	70.05	68.9	73.37	79.17	84.88	80.48	85.84	80.39
AL583856.1	0.04	0	0.08	0.12	0.09	0	0	0.11	0.12	0
NDUFA5P1	0	0	0	0	0	0	0	0	0	0
RANP2	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0
RPL5P6	0	0.06	0	0.1	0	0	0	0.04	0	0
AC090696.1	0	0	0	0	0	0	0	0	0	0
AL138830.2	0	0	0	0	0	0	0	0	0	0
AC004882.2	0	0	0	0	0	0	0	0	0	0
TMPRSS11CP	0.11	0	0	0	0	0	0.06	0	0	0.15
USP17L13	0	0	0	0	0	0	0	0	0	0
RAD17P1	0.09	0.19	0	0	0.04	0.31	0.14	0.04	0	0.02
LINC00112	0	0	0.19	0	0	0	0	0	0	0.08
AC009501.1	0	0	0	0	0	0.47	0	0	0	0
AL121895.1	0.05	0.15	0.19	0.09	0.02	0.3	1.03	0.06	0.2	0.49
PPIAP70	0	0	0.16	0	0	0.09	0.09	0	0	0
AC140481.2	0	0	0	0	0	0	0	0	0	0
AC019185.2	0	0	0	0	0	0	0	0	0	0
AC009495.2	0	0	0	0	0	0	0	0	0	0
AL121601.1	0	0.4	0.66	0	0	0.6	0.16	0	0.5	0.53
AL589923.1	0	0	0	0	0	0	0	0	0	0
ELN-AS1	1.52	2.69	0.72	0.6	0.87	5.73	5.16	0.24	6.76	8.67
BPESC1	0	0	0	0	0	0	0	0	0	0
AC074348.1	0	0	0	0	0	0	0	0	0	0
TTTY19	0	0	0	0	0	0	0	0	0	0
IL9RP2	0	0	0	0	0	0	0	0	0	0
KNOP1P4	0	0.05	0	0	0	0.08	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0
USP9YP29	0	0	0	0	0	0	0	0	0	0
RPL21P131	0.17	0	0	0	0	0.09	0	0	0.1	0.11
RPL31P15	0	0	0	0	0	0	0	0	0	0
AC055876.1	0	0	0.05	0	0	0	0	0	0.06	0.06
GXYLT1P3	0	0	0	0	0	0	0	0	0	0
AJM1	0.23	0.19	1.17	0.26	0.35	2.65	2.95	0.59	1.55	2.19
AL360013.2	0	0	0	0	0	0	0	0	0	0
RPS26P42	0	0	0	0	0	0	0	0	0	0
RPL18AP7	0.08	0	0	0	0.09	0.17	0.09	0	0.37	0.2
MHENCR	2.39	3.88	7.09	1.32	2.21	14.11	13.55	5.19	7.64	12.8
AC010745.4	0	0	0	0	0	0	0	0	0	0
EMSLR	1.87	1.74	2.78	2.25	2.19	1.44	1.33	3.82	1.58	1.74
AC129850.1	0	0	0	0	0	0	0	0	0	0
MTND5P3	0	0	0	0	0	0	0	0	0	0
AL354824.2	0	0	0	0	0	0	0	0	0	0
AL133517.1	0.57	0.5	0.59	0.35	0.12	0.67	1.11	0	0.37	0.46
AC018467.1	0	0	0	0	0	0.08	0	0	0	0
LINC02777	0.47	0.62	0.06	0.71	0.36	1.17	0.75	0.43	1.04	0.41
AL138752.1	0.3	0.15	0.56	0.33	0.17	0.16	0.69	0.79	0	0
LARS2-AS1	0	0	0	0	0	0	0	0	0	0
AL355994.2	0	0.05	0.45	0	0	0.58	0.44	0.74	1.43	1.71
SLC16A6P1	0	0.12	0	0.04	0.04	0.04	0	0	0	0
LINC01450	0	0	0	0	0	0	0	0	0	0.01
OR4F14P	0	0	0	0	0	0	0	0	0	0
BMPR1AP2	0	0.12	0	0	0.14	0.22	0	0.14	0	0.12
AL359265.2	0	0	0	0	0	0	0	0	0	0
Z98949.2	0	0	0	0	0	0	0	0	0	0
AL049765.1	0	0	0	0	0	0	0	0	0	0
H3P31	0	0.45	0.11	0	0	0.38	0.4	0	0.14	0.3
TMA16P2	0	0	0	0	0	0	0	0	0	0
AL136368.1	0	0.41	0.1	0.36	0.12	1.49	0.24	0.34	0.39	0.14
AC119751.1	0	0	0	0	0	0	0	0	0	0
EEF1B2P3	1.55	1.78	1.57	2.6	2.83	0.9	1.1	2.1	2.23	2.17
NCKAP5-IT1	0.07	0	0	0	0.08	0.31	0.08	0	0	0.09
HSFY5P	0	0	0	0	0	0	0	0	0	0
AC010900.1	0.17	0.08	0	0	0	0	0	0	0	0.07
TGFB2-AS1	0.22	0.21	0.62	0	0.25	0	0.08	0.08	0	0.28
AL357134.1	0	0	0	0	0	0	0.22	0	0	0
AC098820.2	0.64	1.25	0.51	0.42	0.15	1.38	1.94	0.36	1.03	1.66
AL592437.2	0.03	0	0	0	0	0	0	0.02	0	0
RASA3-IT1	0	0	0	0	0	0	0	0.12	0	0
MFAP1P1	0	0	0	0	0	0	0.1	0	0	0
OSBPL10-AS1	0	0	0	0	0	0.07	0.17	0	0.22	0
SAPCD2P3	0	0	0.24	0	0	0.37	0.3	0	0	0
NPM1P13	0	0	0	0	0	0	0	0	0	0
RPL12P11	0	0.31	0	0.19	0	0.18	0	0	0.1	0.1
AL161912.1	0	0	0	0	0	0	0	0	0	0
RPL3P12	0	0	0	0	0.04	0	0	0	0	0
ADIPOR1P1	0	0	0	0	0	0	0	0	0	0
AL391058.1	0	0	0.18	0.73	0.43	0	0.12	0.06	0.52	0.5
AP005273.1	0	0	0	0	0	0	0	0	0	0
AC073464.1	0	0	0	0	0	0	0	0	0	0
CYCSP8	0	0	0	0	0	0	0	0	0	0
ST3GAL5-AS1	0.59	0.89	0.75	0	0.12	1.85	1.94	0.26	0.34	0.27
MRPL45P1	0	0	0	0	0	0	0	0	0	0
OR2AH1P	0	0	0	0	0	0	0	0	0	0
AP000233.2	0	0	0	0	0	0	0	0	0	0
AL356968.1	0	0	0	0	0	0	0	0	0.11	0
AC245060.1	0	0	0	0	0	0	0	0	0	0
AC112198.2	0	0	0	0.03	0	0	0	0.03	0.01	0
AC074366.1	0	0	0	0	0	0	0	0	0	0
AL353807.2	0	0.35	0.5	0	0	0.3	0.31	0.43	0	0
GCSIR	0	0	0	0	0	0	0	0	0	0
ZNF886P	0	0	0	0	0	0	0	0	0	0
AC073323.1	0	0	0	0.3	0	0.58	0	0	0	0
SS18L2P1	0	0	0	0	0	0	0	0	0	0
VDAC1P13	0	0	0	0	0	0	0	0	0	0
LINC02802	0.6	0.41	4.55	0.98	0.8	11.87	7.93	13.52	3.35	7.28
AL109809.1	0.05	0.05	0.1	0.06	0.06	0.17	0.12	0	0.06	0.16
AL031773.1	0	0	0	0	0	0	0	0	0	0
LIF-AS1	0	0.14	0.14	0.22	0.17	0.05	0.21	0	0.06	0
AC027612.3	0.09	0	0	0	0	0	0.05	0	0	0
AC093673.1	11.81	12.15	10.45	18.79	23.85	10.85	8.91	14.76	11.66	11.96
OR5H8	0	0	0	0	0	0	0	0	0	0
